taxonKey;scientificName;acceptedTaxonKey;acceptedScientificName;numberOfOccurrences;taxonRank;taxonomicStatus;kingdom;kingdomKey;phylum;phylumKey;class;classKey;order;orderKey;family;familyKey;genus;genusKey;species;speciesKey;iucnRedListCategory
2493071;Phylloscopus borealis (J.H.Blasius, 1858);2493071;Phylloscopus borealis (J.H.Blasius, 1858);53249;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Phylloscopidae;6100963;Phylloscopus;2493047;Phylloscopus borealis;2493071;LC
2493625;Lonchura montana Junge, 1939;2493625;Lonchura montana Junge, 1939;111;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Estrildidae;5709;Lonchura;2493593;Lonchura montana;2493625;LC
2494901;Melampitta lugubris Schlegel, 1871;2494901;Melampitta lugubris Schlegel, 1871;789;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Corcoracidae;5234;Melampitta;2494900;Melampitta lugubris;2494901;LC
2495806;Treron formosae Swinhoe, 1863;2495806;Treron formosae Swinhoe, 1863;3850;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Columbiformes;1446;Columbidae;5233;Treron;2495725;Treron formosae;2495806;NT
2496048;Phapitreron leucotis (Temminck, 1823);2496048;Phapitreron leucotis (Temminck, 1823);8227;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Columbiformes;1446;Columbidae;5233;Phapitreron;2496044;Phapitreron leucotis;2496048;LC
5228514;Archilochus colubris (Linnaeus, 1758);5228514;Archilochus colubris (Linnaeus, 1758);3414824;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Trochilidae;5289;Archilochus;2476402;Archilochus colubris;5228514;LC
5230476;Gymnomyza samoensis (Hombron & Jacquinot, 1841);5230476;Gymnomyza samoensis (Hombron & Jacquinot, 1841);143;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Meliphagidae;9319;Gymnomyza;2487097;Gymnomyza samoensis;5230476;EN
5231643;Spinus lawrencei (Cassin, 1850);5231643;Spinus lawrencei (Cassin, 1850);88322;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Fringillidae;5242;Spinus;8051475;Spinus lawrencei;5231643;LC
5788707;Hylopezus auricularis (Gyldenstolpe, 1941);5788707;Hylopezus auricularis (Gyldenstolpe, 1941);142;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Grallariidae;6101110;Hylopezus;2490556;Hylopezus auricularis;5788707;VU
7340426;Arizelocichla nigriceps (Shelley, 1889);7340426;Arizelocichla nigriceps (Shelley, 1889);4228;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Pycnonotidae;5277;Arizelocichla;7340423;Arizelocichla nigriceps;7340426;LC
7340634;Cyphorhinus arada (Hermann, 1783);7340634;Cyphorhinus arada (Hermann, 1783);4918;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Troglodytidae;9355;Cyphorhinus;2493793;Cyphorhinus arada;7340634;LC
7340714;Coccopygia quartinia (Bonaparte, 1850);7340714;Coccopygia quartinia (Bonaparte, 1850);4518;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Estrildidae;5709;Coccopygia;3241602;Coccopygia quartinia;7340714;LC
7341202;Schoeniparus rufogularis (Mandelli, 1873);5231384;Alcippe rufogularis (Mandelli, 1873);1136;SPECIES;SYNONYM;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Pellorneidae;6100896;Alcippe;2493255;Alcippe rufogularis;5231384;LC
7341385;Hypocnemis striata (Spix, 1825);7341385;Hypocnemis striata (Spix, 1825);3101;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thamnophilidae;5286;Hypocnemis;2490071;Hypocnemis striata;7341385;LC
