Species name;Species code;Data source;n;Predictor;Size class;IUCN category;AUC;BoyceI
Spinus spinus;Spispi;Atlas;103;CLIM_EFAs;II;LC;0,86;-0,53
Spinus spinus;Spispi;Atlas;103;EFAs;II;LC;0,87;-0,14
Sterna hirundo;Stehir;Atlas;75;CLIM;I;LC;0,95;0,64
Sterna hirundo;Stehir;Atlas;75;CLIM_EFAs;I;LC;0,94;0,54
Sterna hirundo;Stehir;Atlas;75;EFAs;I;LC;0,89;0,37
Sterna nilotica;Stenil;Atlas;133;CLIM;II;LC;0,93;0,75
Sterna nilotica;Stenil;Atlas;133;CLIM_EFAs;II;LC;0,93;0,81
Sterna nilotica;Stenil;Atlas;133;EFAs;II;LC;0,92;0,62
Sternula albifrons;Stealb;Atlas;178;CLIM;II;LC;0,95;0,95
Sternula albifrons;Stealb;Atlas;178;CLIM_EFAs;II;LC;0,93;0,95
Sternula albifrons;Stealb;Atlas;178;EFAs;II;LC;0,93;0,8
Streptopelia decaocto;Strdec;Atlas;3064;CLIM;IV;LC;0,92;0,65
Streptopelia decaocto;Strdec;Atlas;3064;CLIM_EFAs;IV;LC;0,99;0,9
Streptopelia decaocto;Strdec;Atlas;3064;EFAs;IV;LC;0,99;0,79
Streptopelia turtur;Strtur;Atlas;5094;CLIM;IV;VU;0,89;0,77
Streptopelia turtur;Strtur;Atlas;5094;CLIM_EFAs;IV;VU;0,86;0,71
Streptopelia turtur;Strtur;Atlas;5094;EFAs;IV;VU;0,89;0,74
Strix aluco;Stralu;Atlas;3290;CLIM;IV;LC;0,84;0,93
Strix aluco;Stralu;Atlas;3290;CLIM_EFAs;IV;LC;0,83;0,94
Strix aluco;Stralu;Atlas;3290;EFAs;IV;LC;0,81;1
Sturnus unicolor;Stuuni;Atlas;5566;CLIM;IV;LC;0,89;0,85
Sturnus unicolor;Stuuni;Atlas;5566;CLIM_EFAs;IV;LC;0,89;0,88
Sturnus unicolor;Stuuni;Atlas;5566;EFAs;IV;LC;0,85;0,82
Sturnus vulgaris;Stuvul;Atlas;497;CLIM;II;LC;0,97;0,71
Sturnus vulgaris;Stuvul;Atlas;497;CLIM_EFAs;II;LC;0,96;0,7
Sturnus vulgaris;Stuvul;Atlas;497;EFAs;II;LC;0,87;0,7
Sylvia atricapilla;Sylatr;Atlas;4275;CLIM;IV;LC;0,87;0,92
Sylvia atricapilla;Sylatr;Atlas;4275;CLIM_EFAs;IV;LC;0,86;0,84
Sylvia atricapilla;Sylatr;Atlas;4275;EFAs;IV;LC;0,86;1
Sylvia borin;Sylbor;Atlas;1694;CLIM;IV;LC;0,93;0,93
Sylvia borin;Sylbor;Atlas;1694;CLIM_EFAs;IV;LC;0,92;0,96
Sylvia borin;Sylbor;Atlas;1694;EFAs;IV;LC;0,89;1
Sylvia cantillans;Sylcan;Atlas;3016;CLIM;IV;LC;0,87;0,85
Sylvia cantillans;Sylcan;Atlas;3016;CLIM_EFAs;IV;LC;0,86;0,78
Sylvia cantillans;Sylcan;Atlas;3016;EFAs;IV;LC;0,83;0,86
Sylvia communis;Sylcom;Atlas;2099;CLIM;IV;LC;0,87;0,92
Sylvia communis;Sylcom;Atlas;2099;CLIM_EFAs;IV;LC;0,85;0,88
Sylvia communis;Sylcom;Atlas;2099;EFAs;IV;LC;0,83;0,98
Sylvia conspicillata;Sylcon;Atlas;1417;CLIM;IV;LC;0,85;0,46
Sylvia conspicillata;Sylcon;Atlas;1417;CLIM_EFAs;IV;LC;0,84;0,55
Sylvia conspicillata;Sylcon;Atlas;1417;EFAs;IV;LC;0,82;0,82
Sylvia hortensis;Sylhor;Atlas;1719;CLIM;IV;LC;0,86;0,65
Sylvia hortensis;Sylhor;Atlas;1719;CLIM_EFAs;IV;LC;0,85;0,57
Sylvia hortensis;Sylhor;Atlas;1719;EFAs;IV;LC;0,88;0,69
Sylvia melanocephala;Sylmel;Atlas;3949;CLIM;IV;LC;0,92;1
Sylvia melanocephala;Sylmel;Atlas;3949;CLIM_EFAs;IV;LC;0,9;1
Sylvia melanocephala;Sylmel;Atlas;3949;EFAs;IV;LC;0,88;0,99
Sylvia undata;Sylund;Atlas;4177;CLIM;IV;NT;0,8;0,73
Sylvia undata;Sylund;Atlas;4177;CLIM_EFAs;IV;NT;0,75;0,71
Sylvia undata;Sylund;Atlas;4177;EFAs;IV;NT;0,73;0,79
Tachybaptus ruficollis;Tacruf;Atlas;1760;CLIM;IV;LC;0,89;0,51
Tachybaptus ruficollis;Tacruf;Atlas;1760;CLIM_EFAs;IV;LC;0,87;0,49
Tachybaptus ruficollis;Tacruf;Atlas;1760;EFAs;IV;LC;0,81;0,59
Tadorna tadorna;Tadtad;Atlas;56;CLIM;I;LC;0,77;-0,13
Tadorna tadorna;Tadtad;Atlas;56;CLIM_EFAs;I;LC;0,73;-0,07
Tadorna tadorna;Tadtad;Atlas;56;EFAs;I;LC;0,73;0,19
Tetrao urogallus;Teturo;Atlas;145;CLIM;II;LC;0,993;NA
Tetrao urogallus;Teturo;Atlas;145;EFAs;II;LC;0,987;NA
Tetrao urogallus;Teturo;Atlas;145;CLIM_EFAs;II;LC;0,989;NA
Tetrax tetrax;Tettet;Atlas;1550;CLIM;IV;VU;0,82;0,87
Tetrax tetrax;Tettet;Atlas;1550;CLIM_EFAs;IV;VU;0,83;1
Tetrax tetrax;Tettet;Atlas;1550;EFAs;IV;VU;0,84;0,99
Tichodroma muraria;Ticmur;Atlas;73;CLIM;I;LC;0,91;0,83
Tichodroma muraria;Ticmur;Atlas;73;CLIM_EFAs;I;LC;0,91;0,92
Tichodroma muraria;Ticmur;Atlas;73;EFAs;I;LC;0,88;0,42
Tringa ochropus;Trioch;Atlas;29;CLIM;I;LC;0,64;-0,44
Tringa ochropus;Trioch;Atlas;29;CLIM_EFAs;I;LC;0,61;-0,22
Tringa ochropus;Trioch;Atlas;29;EFAs;I;LC;0,66;-0,22
Tringa totanus;Tritot;Atlas;218;CLIM;II;LC;0,81;0,55
Tringa totanus;Tritot;Atlas;218;CLIM_EFAs;II;LC;0,79;0,25
Tringa totanus;Tritot;Atlas;218;EFAs;II;LC;0,76;0,34
Troglodytes troglodytes;Trotro;Atlas;4517;CLIM;IV;LC;0,72;0,99
Troglodytes troglodytes;Trotro;Atlas;4517;CLIM_EFAs;IV;LC;0,72;0,99
Troglodytes troglodytes;Trotro;Atlas;4517;EFAs;IV;LC;0,7;1
Turdus merula;Turmer;Atlas;5848;CLIM;IV;LC;0,6;1
Turdus merula;Turmer;Atlas;5848;CLIM_EFAs;IV;LC;0,6;0,73
Turdus merula;Turmer;Atlas;5848;EFAs;IV;LC;0,56;0,51
Turdus philomelos;Turphi;Atlas;1836;CLIM;IV;LC;0,77;0,44
Turdus philomelos;Turphi;Atlas;1836;CLIM_EFAs;IV;LC;0,78;0,52
Turdus philomelos;Turphi;Atlas;1836;EFAs;IV;LC;0,76;0,46
Turdus torquatus;Turtor;Atlas;108;CLIM;II;LC;0,83;0,55
Turdus torquatus;Turtor;Atlas;108;CLIM_EFAs;II;LC;0,81;0,72
Turdus torquatus;Turtor;Atlas;108;EFAs;II;LC;0,83;0,55
Turdus viscivorus;Turvis;Atlas;3968;CLIM;IV;LC;0,69;0,71
Turdus viscivorus;Turvis;Atlas;3968;CLIM_EFAs;IV;LC;0,69;0,52
Turdus viscivorus;Turvis;Atlas;3968;EFAs;IV;LC;0,67;0,69
Tyto alba;Tytalb;Atlas;4082;CLIM;IV;LC;0,73;0,67
Tyto alba;Tytalb;Atlas;4082;CLIM_EFAs;IV;LC;0,74;0,88
Tyto alba;Tytalb;Atlas;4082;EFAs;IV;LC;0,75;0,93
Upupa epops;Upuepo;Atlas;5246;CLIM;IV;LC;0,61;0,9
Upupa epops;Upuepo;Atlas;5246;CLIM_EFAs;IV;LC;0,6;0,92
Upupa epops;Upuepo;Atlas;5246;EFAs;IV;LC;0,62;0,83
Vanellus vanellus;Vanvan;Atlas;425;CLIM;II;VU;0,71;0,22
Vanellus vanellus;Vanvan;Atlas;425;CLIM_EFAs;II;VU;0,73;0,36
Vanellus vanellus;Vanvan;Atlas;425;EFAs;II;VU;0,73;0,22
Accipiter gentilis;Accgen;Ebird;334;CLIM;II;LC;0,54;0,94
Accipiter gentilis;Accgen;Ebird;334;CLIM_EFAs;II;LC;0,53;0,96
Accipiter gentilis;Accgen;Ebird;334;EFAs;II;LC;0,57;0,95
Accipiter nisus;Accnis;Ebird;768;CLIM;III;LC;0,6;0,76
Accipiter nisus;Accnis;Ebird;768;CLIM_EFAs;III;LC;0,6;0,89
Accipiter nisus;Accnis;Ebird;768;EFAs;III;LC;0,6;0,97
Acrocephalus arundinaceus;Acraru;Ebird;273;CLIM;II;LC;0,69;0,98
Acrocephalus arundinaceus;Acraru;Ebird;273;CLIM_EFAs;II;LC;0,68;1
Acrocephalus arundinaceus;Acraru;Ebird;273;EFAs;II;LC;0,68;0,99
Acrocephalus melanopogon;Acrmel;Ebird;37;CLIM;I;LC;0,87;0,92
Acrocephalus melanopogon;Acrmel;Ebird;37;CLIM_EFAs;I;LC;0,75;0,9
Acrocephalus melanopogon;Acrmel;Ebird;37;EFAs;I;LC;0,62;0,84
Acrocephalus schoenobaenus;Acrsch;Ebird;135;CLIM;II;LC;0,81;0,95
Acrocephalus schoenobaenus;Acrsch;Ebird;135;CLIM_EFAs;II;LC;0,71;0,98
Acrocephalus schoenobaenus;Acrsch;Ebird;135;EFAs;II;LC;0,67;0,99
Acrocephalus scirpaceus;Acrsci;Ebird;179;CLIM;II;LC;0,67;0,91
Acrocephalus scirpaceus;Acrsci;Ebird;179;CLIM_EFAs;II;LC;0,6;0,93
Acrocephalus scirpaceus;Acrsci;Ebird;179;EFAs;II;LC;0,64;0,93
Actitis hypoleucos;Acthyp;Ebird;683;CLIM;III;LC;0,54;0,72
Actitis hypoleucos;Acthyp;Ebird;683;CLIM_EFAs;III;LC;0,56;0,85
Actitis hypoleucos;Acthyp;Ebird;683;EFAs;III;LC;0,55;0,59
Aegithalos caudatus;Aegcau;Ebird;1068;CLIM;IV;LC;0,66;0,75
Aegithalos caudatus;Aegcau;Ebird;1068;CLIM_EFAs;IV;LC;0,66;0,69
Aegithalos caudatus;Aegcau;Ebird;1068;EFAs;IV;LC;0,66;0,57
Aegolius funereus;Aegfun;Ebird;24;CLIM;I;LC;0,95;0,97
Aegolius funereus;Aegfun;Ebird;24;CLIM_EFAs;I;LC;0,93;0,75
Aegolius funereus;Aegfun;Ebird;24;EFAs;I;LC;0,9;0,69
Aegypius monachus;Aegmon;Ebird;365;CLIM;II;LC;0,85;0,98
Aegypius monachus;Aegmon;Ebird;365;CLIM_EFAs;II;LC;0,86;0,99
Aegypius monachus;Aegmon;Ebird;365;EFAs;II;LC;0,78;0,98
Alauda arvensis;Alaarv;Ebird;736;CLIM;III;LC;0,54;0,41
Alauda arvensis;Alaarv;Ebird;736;CLIM_EFAs;III;LC;0,52;0,23
Alauda arvensis;Alaarv;Ebird;736;EFAs;III;LC;0,53;0,6
Alcedo atthis;Alcatt;Ebird;704;CLIM;III;VU;0,67;0,81
Alcedo atthis;Alcatt;Ebird;704;CLIM_EFAs;III;VU;0,67;0,98
Alcedo atthis;Alcatt;Ebird;704;EFAs;III;VU;0,67;0,86
Alectoris rufa;Aleruf;Ebird;1169;CLIM;IV;LC;0,65;0,61
Alectoris rufa;Aleruf;Ebird;1169;CLIM_EFAs;IV;LC;0,62;0,65
Alectoris rufa;Aleruf;Ebird;1169;EFAs;IV;LC;0,64;0,56
Anas acuta;Anaacu;Ebird;197;CLIM;II;LC;0,81;0,99
Anas acuta;Anaacu;Ebird;197;CLIM_EFAs;II;LC;0,84;0,98
Anas acuta;Anaacu;Ebird;197;EFAs;II;LC;0,78;0,99
Anas clypeata;Anacly;Ebird;402;CLIM;II;LC;0,73;0,95
Anas clypeata;Anacly;Ebird;402;CLIM_EFAs;II;LC;0,71;0,99
Anas clypeata;Anacly;Ebird;402;EFAs;II;LC;0,69;1
Anas crecca;Anacre;Ebird;411;CLIM;II;LC;0,69;0,99
Anas crecca;Anacre;Ebird;411;CLIM_EFAs;II;LC;0,64;0,98
Anas crecca;Anacre;Ebird;411;EFAs;II;LC;0,62;0,99
Anas platyrhynchos;Anapla;Ebird;1235;CLIM;IV;LC;0,65;0,86
Anas platyrhynchos;Anapla;Ebird;1235;CLIM_EFAs;IV;LC;0,67;0,99
Anas platyrhynchos;Anapla;Ebird;1235;EFAs;IV;LC;0,69;0,66
Anas querquedula;Anaque;Ebird;160;CLIM;II;LC;0,73;0,99
Anas querquedula;Anaque;Ebird;160;CLIM_EFAs;II;LC;0,72;0,99
Anas querquedula;Anaque;Ebird;160;EFAs;II;LC;0,74;0,97
Anas strepera;Anastr;Ebird;383;CLIM;II;LC;0,8;0,99
Anas strepera;Anastr;Ebird;383;CLIM_EFAs;II;LC;0,79;0,98
Anas strepera;Anastr;Ebird;383;EFAs;II;LC;0,75;0,94
Anthus campestris;Antcam;Ebird;289;CLIM;II;LC;0,6;0,31
Anthus campestris;Antcam;Ebird;289;CLIM_EFAs;II;LC;0,58;0,35
Anthus campestris;Antcam;Ebird;289;EFAs;II;LC;0,55;0,21
Anthus pratensis;Antpra;Ebird;1067;CLIM;IV;NT;0,51;0,99
Anthus pratensis;Antpra;Ebird;1067;CLIM_EFAs;IV;NT;0,5;1
Anthus pratensis;Antpra;Ebird;1067;EFAs;IV;NT;0,53;0,91
Anthus spinoletta;Antspi;Ebird;357;CLIM;II;LC;0,87;1
Anthus spinoletta;Antspi;Ebird;357;CLIM_EFAs;II;LC;0,9;1
Anthus spinoletta;Antspi;Ebird;357;EFAs;II;LC;0,94;1
Anthus trivialis;Anttri;Ebird;295;CLIM;II;LC;0,83;0,84
Anthus trivialis;Anttri;Ebird;295;CLIM_EFAs;II;LC;0,82;0,93
Anthus trivialis;Anttri;Ebird;295;EFAs;II;LC;0,8;0,98
Apus apus;Apuapu;Ebird;1224;CLIM;IV;LC;0,57;0,83
Apus apus;Apuapu;Ebird;1224;CLIM_EFAs;IV;LC;0,54;0,91
Apus apus;Apuapu;Ebird;1224;EFAs;IV;LC;0,53;0,44
Apus caffer;Apucaf;Ebird;38;CLIM;I;NT;0,87;0,8
Apus caffer;Apucaf;Ebird;38;CLIM_EFAs;I;NT;0,88;0,88
Apus caffer;Apucaf;Ebird;38;EFAs;I;NT;0,8;0,87
Apus melba;Apume;Ebird;360;CLIM;II;LC;0,72;0,86
Apus melba;Apume;Ebird;360;CLIM_EFAs;II;LC;0,69;0,87
Apus melba;Apume;Ebird;360;EFAs;II;LC;0,58;0,78
Apus pallidus;Apupal;Ebird;382;CLIM;II;LC;0,87;0,8
Apus pallidus;Apupal;Ebird;382;CLIM_EFAs;II;LC;0,86;0,82
Apus pallidus;Apupal;Ebird;382;EFAs;II;LC;0,75;0,97
Aquila adalberti;Aquada;Ebird;101;CLIM;II;VU;0,87;0,84
Aquila adalberti;Aquada;Ebird;101;CLIM_EFAs;II;VU;0,88;0,94
Aquila adalberti;Aquada;Ebird;101;EFAs;II;VU;0,78;0,97
Aquila chrysaetos;Aquchr;Ebird;509;CLIM;III;LC;0,7;0,69
Aquila chrysaetos;Aquchr;Ebird;509;CLIM_EFAs;III;LC;0,64;0,78
Aquila chrysaetos;Aquchr;Ebird;509;EFAs;III;LC;0,58;0,41
Aquila fasciata;Aqufas;Ebird;301;CLIM;II;LC;0,71;0,77
Aquila fasciata;Aqufas;Ebird;301;CLIM_EFAs;II;LC;0,69;0,74
Aquila fasciata;Aqufas;Ebird;301;EFAs;II;LC;0,67;0,72
Ardea alba;Ardalb;Ebird;308;CLIM;II;LC;0,81;0,91
Ardea alba;Ardalb;Ebird;308;CLIM_EFAs;II;LC;0,73;0,92
Ardea alba;Ardalb;Ebird;308;EFAs;II;LC;0,76;0,96
Ardea cinerea;Ardcin;Ebird;1315;CLIM;IV;LC;0,69;0,89
Ardea cinerea;Ardcin;Ebird;1315;CLIM_EFAs;IV;LC;0,7;0,99
Ardea cinerea;Ardcin;Ebird;1315;EFAs;IV;LC;0,7;0,79
Ardea purpurea;Ardpur;Ebird;317;CLIM;II;LC;0,82;1
Ardea purpurea;Ardpur;Ebird;317;CLIM_EFAs;II;LC;0,76;0,98
Ardea purpurea;Ardpur;Ebird;317;EFAs;II;LC;0,73;0,73
Ardeola ralloides;Ardral;Ebird;140;CLIM;II;LC;0,89;0,83
Ardeola ralloides;Ardral;Ebird;140;CLIM_EFAs;II;LC;0,83;0,98
Ardeola ralloides;Ardral;Ebird;140;EFAs;II;LC;0,82;0,91
Asio flammeus;Asifla;Ebird;103;CLIM;II;LC;0,63;0,86
Asio flammeus;Asifla;Ebird;103;CLIM_EFAs;II;LC;0,7;0,92
Asio flammeus;Asifla;Ebird;103;EFAs;II;LC;0,72;0,97
Asio otus;Asiotu;Ebird;117;CLIM;II;LC;0,52;0,11
Asio otus;Asiotu;Ebird;117;CLIM_EFAs;II;LC;0,56;0,38
Asio otus;Asiotu;Ebird;117;EFAs;II;LC;0,57;0,51
Athene noctua;Athnoc;Ebird;685;CLIM;III;LC;0,72;0,45
Athene noctua;Athnoc;Ebird;685;CLIM_EFAs;III;LC;0,67;0,48
Athene noctua;Athnoc;Ebird;685;EFAs;III;LC;0,7;0,52
Aythya ferina;Aytfer;Ebird;304;CLIM;II;VU;0,77;0,99
Aythya ferina;Aytfer;Ebird;304;CLIM_EFAs;II;VU;0,72;0,99
Aythya ferina;Aytfer;Ebird;304;EFAs;II;VU;0,71;0,94
Aythya fuligula;Aytful;Ebird;180;CLIM;II;LC;0,73;0,98
Aythya fuligula;Aytful;Ebird;180;CLIM_EFAs;II;LC;0,76;0,9
Aythya fuligula;Aytful;Ebird;180;EFAs;II;LC;0,73;0,98
Aythya nyroca;Aytnyr;Ebird;85;CLIM;I;LC;0,97;0,99
Aythya nyroca;Aytnyr;Ebird;85;CLIM_EFAs;I;LC;0,81;0,94
Aythya nyroca;Aytnyr;Ebird;85;EFAs;I;LC;0,77;0,99
Botaurus stellaris;Botste;Ebird;59;CLIM;I;LC;0,8;0,95
Botaurus stellaris;Botste;Ebird;59;CLIM_EFAs;I;LC;0,67;0,94
Botaurus stellaris;Botste;Ebird;59;EFAs;I;LC;0,69;0,99
Bubo bubo;Bubbub;Ebird;185;CLIM;II;LC;0,63;0,59
Bubo bubo;Bubbub;Ebird;185;CLIM_EFAs;II;LC;0,59;0,64
Bubo bubo;Bubbub;Ebird;185;EFAs;II;LC;0,59;0,53
Bubulcus ibis;Bubibi;Ebird;866;CLIM;III;LC;0,86;0,99
Bubulcus ibis;Bubibi;Ebird;866;CLIM_EFAs;III;LC;0,86;0,83
Bubulcus ibis;Bubibi;Ebird;866;EFAs;III;LC;0,84;0,95
Bucanetes githagineus;Bucgit;Ebird;17;CLIM;I;LC;0,92;0,49
Bucanetes githagineus;Bucgit;Ebird;17;CLIM_EFAs;I;LC;0,98;0,96
Bucanetes githagineus;Bucgit;Ebird;17;EFAs;I;LC;0,97;0,84
Burhinus oedicnemus;Buroed;Ebird;382;CLIM;II;LC;0,71;0,94
Burhinus oedicnemus;Buroed;Ebird;382;CLIM_EFAs;II;LC;0,76;0,98
Burhinus oedicnemus;Buroed;Ebird;382;EFAs;II;LC;0,74;0,75
Buteo buteo;Butbut;Ebird;1736;CLIM;IV;LC;0,65;0,57
Buteo buteo;Butbut;Ebird;1736;CLIM_EFAs;IV;LC;0,7;0,55
Buteo buteo;Butbut;Ebird;1736;EFAs;IV;LC;0,71;0,69
Calandrella brachydactyla;Calbra;Ebird;255;CLIM;II;LC;0,65;0,78
Calandrella brachydactyla;Calbra;Ebird;255;CLIM_EFAs;II;LC;0,68;0,82
Calandrella brachydactyla;Calbra;Ebird;255;EFAs;II;LC;0,66;0,57
Calandrella rufescens;Calruf;Ebird;80;CLIM;I;LC;0,88;0,67
Calandrella rufescens;Calruf;Ebird;80;CLIM_EFAs;I;LC;0,9;0,97
Calandrella rufescens;Calruf;Ebird;80;EFAs;I;LC;0,86;0,99
Calandrella rufescens aptezii;Calrufapt;Ebird;NA;NA;NA;NA;NA;NA
Calandrella rufescens aptezii;Calrufapt;Ebird;NA;NA;NA;NA;NA;NA
Calandrella rufescens aptezii;Calrufapt;Ebird;NA;NA;NA;NA;NA;NA
Caprimulgus europaeus;Capeur;Ebird;166;CLIM;II;LC;0,71;0,56
Caprimulgus europaeus;Capeur;Ebird;166;CLIM_EFAs;II;LC;0,69;0,45
Caprimulgus europaeus;Capeur;Ebird;166;EFAs;II;LC;0,67;0,51
Caprimulgus ruficollis;Capruf;Ebird;189;CLIM;II;LC;0,77;0,96
Caprimulgus ruficollis;Capruf;Ebird;189;CLIM_EFAs;II;LC;0,76;0,79
Caprimulgus ruficollis;Capruf;Ebird;189;EFAs;II;LC;0,75;0,56
Carduelis carduelis;Carcar;Ebird;1772;CLIM;IV;LC;0,5;0,46
Carduelis carduelis;Carcar;Ebird;1772;CLIM_EFAs;IV;LC;0,51;0,54
Carduelis carduelis;Carcar;Ebird;1772;EFAs;IV;LC;0,52;0,39
Carduelis citrinella;Carcit;Ebird;137;CLIM;II;LC;0,93;0,99
Carduelis citrinella;Carcit;Ebird;137;CLIM_EFAs;II;LC;0,91;0,99
Carduelis citrinella;Carcit;Ebird;137;EFAs;II;LC;0,91;0,95
Cecropis daurica;Cecdau;Ebird;863;CLIM;III;LC;0,86;0,97
Cecropis daurica;Cecdau;Ebird;863;CLIM_EFAs;III;LC;0,86;0,9
Cecropis daurica;Cecdau;Ebird;863;EFAs;III;LC;0,82;0,72
Cercotrichas galactotes;Cergal;Ebird;NA;NA;NA;NA;NA;NA
Cercotrichas galactotes;Cergal;Ebird;NA;NA;NA;NA;NA;NA
Cercotrichas galactotes;Cergal;Ebird;NA;NA;NA;NA;NA;NA
Certhia brachydactyla;Cerbra;Ebird;1054;CLIM;IV;LC;0,74;0,72
Certhia brachydactyla;Cerbra;Ebird;1054;CLIM_EFAs;IV;LC;0,73;0,59
Certhia brachydactyla;Cerbra;Ebird;1054;EFAs;IV;LC;0,71;0,7
Certhia familiaris;Cerfam;Ebird;53;CLIM;I;LC;0,97;0,98
Certhia familiaris;Cerfam;Ebird;53;CLIM_EFAs;I;LC;0,96;0,82
Certhia familiaris;Cerfam;Ebird;53;EFAs;I;LC;0,97;0,78
Cettia cetti;Cetcet;Ebird;945;CLIM;III;LC;0,61;0,64
Cettia cetti;Cetcet;Ebird;945;CLIM_EFAs;III;LC;0,61;0,75
Cettia cetti;Cetcet;Ebird;945;EFAs;III;LC;0,58;0,77
Charadrius alexandrinus;Chaale;Ebird;246;CLIM;II;LC;0,91;0,95
Charadrius alexandrinus;Chaale;Ebird;246;CLIM_EFAs;II;LC;0,85;0,97
Charadrius alexandrinus;Chaale;Ebird;246;EFAs;II;LC;0,78;0,97
Charadrius dubius;Chadub;Ebird;504;CLIM;III;LC;0,73;0,87
Charadrius dubius;Chadub;Ebird;504;CLIM_EFAs;III;LC;0,7;0,77
Charadrius dubius;Chadub;Ebird;504;EFAs;III;LC;0,72;0,8
Chersophilus duponti;Chedup;Ebird;26;CLIM;I;VU;0,88;0,94
Chersophilus duponti;Chedup;Ebird;26;CLIM_EFAs;I;VU;0,87;0,95
Chersophilus duponti;Chedup;Ebird;26;EFAs;I;VU;0,8;0,43
Chlidonias hybrida;Chlhyb;Ebird;171;CLIM;II;LC;0,8;0,96
Chlidonias hybrida;Chlhyb;Ebird;171;CLIM_EFAs;II;LC;0,8;1
Chlidonias hybrida;Chlhyb;Ebird;171;EFAs;II;LC;0,8;0,99
Chlidonias niger;Chlnig;Ebird;169;CLIM;II;LC;0,73;0,96
Chlidonias niger;Chlnig;Ebird;169;CLIM_EFAs;II;LC;0,71;0,97
Chlidonias niger;Chlnig;Ebird;169;EFAs;II;LC;0,66;1
Chloris chloris;Chlchl;Ebird;1498;CLIM;IV;LC;0,62;0,45
Chloris chloris;Chlchl;Ebird;1498;CLIM_EFAs;IV;LC;0,59;0,62
Chloris chloris;Chlchl;Ebird;1498;EFAs;IV;LC;0,55;0,62
Ciconia ciconia;Ciccic;Ebird;1116;CLIM;IV;LC;0,78;0,92
Ciconia ciconia;Ciccic;Ebird;1116;CLIM_EFAs;IV;LC;0,83;0,96
Ciconia ciconia;Ciccic;Ebird;1116;EFAs;IV;LC;0,81;0,9
Ciconia nigra;Cicnig;Ebird;342;CLIM;II;LC;0,83;0,99
Ciconia nigra;Cicnig;Ebird;342;CLIM_EFAs;II;LC;0,82;0,99
Ciconia nigra;Cicnig;Ebird;342;EFAs;II;LC;0,81;0,95
Cinclus cinclus;Cincin;Ebird;218;CLIM;II;LC;0,88;0,97
Cinclus cinclus;Cincin;Ebird;218;CLIM_EFAs;II;LC;0,84;0,97
Cinclus cinclus;Cincin;Ebird;218;EFAs;II;LC;0,87;0,94
Circaetus gallicus;Circgal;Ebird;846;CLIM;III;LC;0,67;0,37
Circaetus gallicus;Circgal;Ebird;846;CLIM_EFAs;III;LC;0,66;0,47
Circaetus gallicus;Circgal;Ebird;846;EFAs;III;LC;0,64;0,32
Circus aeruginosus;Ciraer;Ebird;638;CLIM;III;LC;0,72;0,84
Circus aeruginosus;Ciraer;Ebird;638;CLIM_EFAs;III;LC;0,73;0,86
Circus aeruginosus;Ciraer;Ebird;638;EFAs;III;LC;0,71;0,92
Circus cyaneus;Circya;Ebird;451;CLIM;II;NT;0,66;0,7
Circus cyaneus;Circya;Ebird;451;CLIM_EFAs;II;NT;0,68;0,62
Circus cyaneus;Circya;Ebird;451;EFAs;II;NT;0,66;0,7
Circus pygargus;Cirpyg;Ebird;538;CLIM;III;LC;0,67;0,61
Circus pygargus;Cirpyg;Ebird;538;CLIM_EFAs;III;LC;0,69;0,89
Circus pygargus;Cirpyg;Ebird;538;EFAs;III;LC;0,68;0,82
Cisticola juncidis;Cisjun;Ebird;880;CLIM;III;LC;0,77;0,59
Cisticola juncidis;Cisjun;Ebird;880;CLIM_EFAs;III;LC;0,71;0,46
Cisticola juncidis;Cisjun;Ebird;880;EFAs;III;LC;0,71;0,71
Clamator glandarius;Clagla;Ebird;308;CLIM;II;LC;0,62;0,56
Clamator glandarius;Clagla;Ebird;308;CLIM_EFAs;II;LC;0,63;0,5
Clamator glandarius;Clagla;Ebird;308;EFAs;II;LC;0,67;0,86
Coccothraustes coccothraustes;Coccoc;Ebird;307;CLIM;II;LC;0,64;0,75
Coccothraustes coccothraustes;Coccoc;Ebird;307;CLIM_EFAs;II;LC;0,67;0,7
Coccothraustes coccothraustes;Coccoc;Ebird;307;EFAs;II;LC;0,67;0,71
Columba livia;Colliv;Ebird;1126;CLIM;IV;LC;0,51;0,48
Columba livia;Colliv;Ebird;1126;CLIM_EFAs;IV;LC;0,51;0,64
Columba livia;Colliv;Ebird;1126;EFAs;IV;LC;0,54;0,32
Columba oenas;Coloen;Ebird;230;CLIM;II;LC;0,79;0,67
Columba oenas;Coloen;Ebird;230;CLIM_EFAs;II;LC;0,78;0,7
Columba oenas;Coloen;Ebird;230;EFAs;II;LC;0,64;0,5
Columba palumbus;Colpal;Ebird;1517;CLIM;IV;LC;0,54;0,49
Columba palumbus;Colpal;Ebird;1517;CLIM_EFAs;IV;LC;0,54;0,53
Columba palumbus;Colpal;Ebird;1517;EFAs;IV;LC;0,53;0,52
Coracias garrulus;Corgar;Ebird;193;CLIM;II;LC;0,59;-0,23
Coracias garrulus;Corgar;Ebird;193;CLIM_EFAs;II;LC;0,56;-0,08
Coracias garrulus;Corgar;Ebird;193;EFAs;II;LC;0,52;0,48
Corvus corax;Corcor;Ebird;1116;CLIM;IV;LC;0,69;0,59
Corvus corax;Corcor;Ebird;1116;CLIM_EFAs;IV;LC;0,68;0,67
